A,B
0.358533333,-0.015599032
0.359366667,-0.014220675
0.3602,-0.011983017
0.361033333,-0.01052767
0.361866667,-0.010261933
0.3627,-0.011242926
0.363533333,-0.013488034
0.364366667,-0.016433497
0.3652,-0.018373132
0.366033333,-0.017148753
0.366866667,-0.01394252
0.3677,-0.010264417
0.368533333,-0.007520119
0.369366667,-0.006265938
0.3702,-0.006946425
0.371033333,-0.009894371
0.371866667,-0.013468166
0.3727,-0.016637146
0.373533333,-0.018445154
0.374366667,-0.01908342
0.3752,-0.01886487
0.376033333,-0.017645458
0.376866667,-0.015743077
0.3777,-0.012966494
0.378533333,-0.00996391
0.379366667,-0.00667572
0.3802,-0.003476938
0.381033333,-0.001495083
0.381866667,-0.000844399
0.3827,-0.001768271
0.383533333,-0.002741814
0.384366667,-0.003489355
0.3852,-0.003645817
0.386033333,-0.00359863
0.386866667,-0.004539887
0.3877,-0.006285806
0.388533333,-0.008511047
0.389366667,-0.010102987
0.3902,-0.011749566
0.391033333,-0.013475617
0.391866667,-0.014128784
0.3927,-0.012867153
0.393533333,-0.010587275
0.394366667,-0.009236236
0.3952,-0.008910894
0.396033333,-0.009005268
0.396866667,-0.00876685
0.3977,-0.007994473
0.398533333,-0.007450581
0.399366667,-0.006998579
0.4002,-0.006772578
0.401033333,-0.006049871
0.401866667,-0.005431473
0.4027,-0.006082157
0.403533333,-0.007333855
0.404366667,-0.008352101
0.4052,-0.007800758
0.406033333,-0.0066335
0.406866667,-0.005799035
0.4077,-0.005466243
0.408533333,-0.005391737
0.409366667,-0.00530233
0.4102,-0.005568067
0.411033333,-0.005061428
0.411866667,-0.003471971
0.4127,-0.001211961
0.413533333,0.000325342
0.414366667,0.000628332
0.4152,-0.000342727
0.416033333,-0.002620121
0.416866667,-0.005794068
0.4177,-0.008972983
0.418533333,-0.010887782
0.419366667,-0.011054178
0.4202,-0.009417534
0.421033333,-0.006906688
0.421866667,-0.004500151
0.4227,-0.002729396
0.423533333,-0.001130005
0.424366667,0.000459452
0.4252,0.001562138
0.426033333,0.001735985
0.426883333,0.001502534
0.427716667,0.001375874
0.42855,0.000737607
0.429383333,-0.00025332
0.430216667,-0.001591941
0.43105,-0.002853572
0.431883333,-0.003720323
0.432716667,-0.004028281
0.43355,-0.003345311
0.434383333,-0.002503395
0.435216667,-0.002061327
0.43605,-0.002433856
0.436883333,-0.003727774
0.437716667,-0.004731119
0.43855,-0.004952153
0.439383333,-0.004847844
0.440216667,-0.004897515
0.44105,-0.004547338
0.441883333,-0.002563
0.442716667,-0.000265737
0.44355,0.001204511
0.444383333,0.002264977
0.445216667,0.004572173
0.44605,0.007882714
0.446883333,0.011069079
0.447716667,0.014888744
0.44855,0.020317733
0.449383333,0.027316312
0.450216667,0.034764409
0.45105,0.043228269
0.451883333,0.053741038
0.452716667,0.064822535
0.45355,0.075201193
0.454383333,0.083250304
0.455216667,0.088440875
0.45605,0.09021163
0.456883333,0.088430941
0.457716667,0.084330638
0.45855,0.078894198
0.459383333,0.073718528
0.460216667,0.070025524
0.46105,0.068013867
0.461883333,0.066302717
0.462716667,0.06442517
0.46355,0.061919292
0.464383333,0.059751173
0.465216667,0.05809466
0.46605,0.056748589
0.466883333,0.055834651
0.467716667,0.055067241
0.46855,0.054838757
0.469383333,0.054823856
0.470216667,0.054533283
0.47105,0.054183106
0.471883333,0.054257611
0.472716667,0.055586298
0.47355,0.057684879
0.474383333,0.059907635
0.475216667,0.062217315
0.47605,0.064569215
0.476883333,0.06633997
0.477716667,0.065696736
0.47855,0.062341491
0.479383333,0.057036678
0.480216667,0.050691267
0.48105,0.044427812
0.481883333,0.039977332
0.482716667,0.039940079
0.48355,0.046573579
0.484383333,0.060511132
0.485216667,0.082309047
0.48605,0.111351411
0.486883333,0.145924588
0.487716667,0.183485448
0.48855,0.220634043
0.489383333,0.254514317
0.490216667,0.28099368
0.49105,0.297032297
0.491883333,0.301867723
0.492716667,0.297134121
0.49355,0.285665194
0.494383333,0.269693633
0.495216667,0.245412191
0.49605,0.196268161
0.496883333,0.098320345
0.497716667,-0.060444077
0.49855,-0.266504784
0.499383333,-0.48819681
0.500216667,-0.688431164
0.50105,-0.830352306
0.501883333,-0.882665316
0.502716667,-0.834003091
0.50355,-0.701685747
0.504383333,-0.521833698
0.505216667,-0.329603752
0.50605,-0.146701932
0.506883333,0.016552707
0.507716667,0.156064828
0.50855,0.270542999
0.509383333,0.361944238
0.510216667,0.434597333
0.51105,0.491959353
0.511883333,0.539225837
0.512716667,0.586835047
0.51355,0.651188195
0.514383333,0.748259326
0.515216667,0.888536374
0.51605,1.073775192
