Binol,Ligand,Uncertainty
16,1147,0.1016905668877125
16,1148,0.0206866424414701
16,1149,0.083267640851446
16,1150,13.469673601364342
16,1151,4.892537506454996
16,1152,0.9790521574950692
16,1153,0.0799842458540656
16,1154,0.2177805925954768
16,1155,0.1196753003443555
16,1156,0.1684856878952576
16,1157,0.4325457915053873
16,1158,0.547267333365032
16,1159,1.3563442554711618
16,1160,0.2281685972255884
16,1161,0.1852436845317925
16,1162,0.723677264073208
16,1163,0.3003187867241755
16,1164,0.2243045507336679
16,1165,0.1969322765082883
16,1166,0.260884639876131
16,1167,0.1956820003678871
16,1168,0.0103822416700249
16,1169,0.0127500854654521
16,1170,0.0176353968440061
16,1171,0.2692473937042739
16,1172,0.0828129213628442
16,1173,0.0041299014255122
16,1174,0.0144444952366701
16,1175,0.0257449830754004
16,1176,0.0205240855661062
16,1177,0.0254262706202573
16,1178,0.0354935289849153
16,1049,0.0009347803959869
16,1093,0.0034801370811113
16,1004,1.1989737623821732
16,1070,0.7159883291188437
16,1077,0.1935381768516168
16,1013,0.0454658985495907
16,1103,0.0216551197561809
16,1015,0.0895527207844635
16,1089,0.0019163081129421
16,1016,0.0024760079566768
16,1062,0.0079894942351803
16,1125,0.0064042103347017
16,1109,0.0543305562369736
16,1039,0.0131594788872906
16,1017,0.0013122693357635
16,1018,0.0112206040352064
16,1066,0.0298816762719557
16,1087,0.1158267602273371
16,1088,0.188113875309749
16,1007,0.0289905206440779
16,1098,0.0540464363400472
16,1011,0.0706215289723255
16,1068,0.0334840496199437
16,1078,0.0067337568732654
16,1073,0.001996680644021
16,1058,0.0027101005608686
16,1091,0.1667295801490048
43,1001,0.556045784108068
43,1022,0.4814472495344499
43,1090,0.9034873760784988
43,1060,1.1540199315854294
43,1112,0.2412754670614054
43,1067,0.40920048973618
43,1072,0.1783497433331754
43,1113,0.1040840584775738
43,1002,0.0256893408726913
43,1092,0.2795205178785128
43,1003,0.0061405501426832
43,1048,0.0025999549108727
43,1025,0.2507845904757114
43,1071,0.2299842354261874
43,1115,0.1916570367005955
43,1051,5.182155926213501
43,1118,0.069695141463418
43,1053,0.1285201487745501
43,1052,0.8048937702929464
43,1117,0.6252290302214196
43,1116,3.751404106372479
43,1028,0.2408406791064654
43,1029,0.1643273137704055
43,1096,0.0392109937393298
43,1069,0.3984507126258548
43,1114,0.0822429504153067
43,1047,0.1809339750063494
43,1076,0.2449984349167832
43,1131,0.0127579485894507
43,1046,0.3640113047834255
43,1023,0.0747216446748131
43,1006,0.0101364105261532
43,1050,0.11002141330537
43,1026,0.0468419470175948
43,1033,0.3902180701373389
43,1057,0.3782311533925753
43,1106,0.0203843146804891
43,1083,4.080712257859871
43,1061,2.0934368138114543
43,1123,2.502475627226848
43,1045,5.95929065582708
43,1008,0.0015948838639605
43,1084,0.2244168012263466
43,1105,0.7545165840095781
43,1134,0.1123947633355883
43,1135,0.4116317080078552
43,1139,0.7852659054179928
43,1054,0.2434434187359945
43,1133,0.2215105975618909
43,1099,0.0038229301254203
43,1012,0.1484375607003712
43,1036,0.0501979957640628
43,1055,0.1504799674311869
43,1031,0.1252944167268236
43,1104,1.3472142724514975
43,1035,3.376035129498666
43,1009,0.0023485452931832
43,1037,1.0291365439559512
43,1079,4.026487242355297
43,1100,0.0821101226967186
43,1102,1.885267496030588
43,1122,0.1241568176854849
43,1034,0.5174248969676319
43,1101,0.9155658936383988
43,1010,1.2505991164035728
43,1065,17.496170061919468
43,1110,1.0627916445033176
43,1038,0.8558513192994849
43,1126,0.2144139686793864
43,1127,0.0245093562111707
43,1064,0.1231829800871837
43,1107,0.1145117340046472
43,1040,0.0302405358192436
43,1108,0.219652241670758
43,1138,0.0124904539863705
43,1136,0.0068725081017796
43,1021,5.6893371762827805
43,1137,0.6820753253893418
43,1041,1.0578619415212591
43,1042,0.0027550365239175
43,1043,0.0552264713859533
43,1063,0.0038555784577814
43,1044,0.6994930276593389
43,1124,1.403533679308201
43,1111,0.3392441297644913
43,1140,0.1126256515688433
43,1141,0.4050155138876561
43,1142,0.0593599222149179
43,1143,0.0366372940217039
43,1144,0.2155958238362226
43,1145,0.0346274749866048
43,1146,0.8219682382379301
43,1147,0.2666491181864736
43,1148,0.0382968538057793
43,1149,0.0749825951609588
43,1150,3.025385647650029
43,1151,1.4690196448253017
43,1152,0.3888053757460004
43,1153,0.2404844489806742
43,1154,0.0527994709370783
43,1155,0.1679302062841056
43,1156,0.3020454627191896
43,1157,0.9100490909654242
43,1158,0.67928158840949
43,1159,0.173422472827512
43,1160,0.2517773097929326
43,1161,0.5611027221124133
43,1162,0.3355754028102534
43,1163,0.190803475634758
43,1164,0.3116606170948995
43,1165,0.3534584887108542
43,1166,0.4810819322707395
43,1167,0.0941008068241494
43,1168,0.0079133376737679
43,1169,0.0141680085985825
43,1170,0.015379658386249
43,1171,0.1081648464992115
43,1172,0.063620657338663
43,1173,0.0059013087514823
43,1174,0.0082725728833922
43,1175,0.0200698056989609
43,1176,0.0405686532160369
43,1177,0.0280260940212449
43,1178,0.039018389379095
43,1049,0.0030472036392234
43,1093,0.0084066099052231
43,1004,0.4629442965723128
43,1070,0.3991921216858733
43,1077,1.550304878023156
43,1013,0.0432008392060363
43,1103,0.0503761946164964
43,1015,0.1856921626250383
43,1089,0.0022273284185621
43,1016,0.0028929407244752
43,1062,0.0052368246425642
43,1125,0.0117830190597783
43,1109,0.133067592865305
43,1039,0.0362667334073103
43,1017,0.0026720480744947
43,1018,0.0186347200978404
43,1066,0.0222816783499393
43,1087,0.1074000220274564
43,1088,0.2615323364167227
43,1007,0.0676065247769474
43,1098,0.1956307496882079
43,1011,0.2022078070709494
43,1068,0.0275030081506034
43,1078,0.0304287190367623
43,1073,0.0067161719624672
43,1058,0.0039954173924303
43,1091,0.4002986847642854
44,1001,0.0110313397819362
44,1022,0.01400625365708
44,1090,0.0274212485095118
44,1060,0.0510345155984161
44,1112,0.0061966865588983
44,1067,0.0045727830530629
44,1072,0.0022492220883067
44,1113,0.0022506936018978
44,1002,0.0023043779238873
44,1092,0.0089194061273883
44,1003,0.0003778934150176
44,1048,0.0002324424864788
44,1025,0.0021005494556643
44,1071,0.0079761761968606
44,1115,0.0063547140710421
44,1051,0.0353505067316355
44,1118,0.0017350568219008
44,1053,0.0019348160509672
44,1052,0.0117540558733841
44,1117,0.0109373150549355
44,1116,0.0063341054983557
44,1028,0.0020078582302755
44,1029,0.0037806582806475
44,1096,0.0029316020572223
44,1069,0.0063654170930754
44,1114,0.0033341336009867
44,1047,0.0116100106302519
44,1076,0.0057346991052719
44,1131,0.0009277816515457
44,1046,0.0062771441809036
44,1023,0.0029546444158095
44,1006,0.0008926416581866
44,1050,0.0015506725733282
44,1026,0.0014883063702907
44,1033,0.0043403405608191
